ndata,model,mean_fn,error_J_50,error_J_100,error_J_500,error_J_1000,PY_THETA,PY_ALPHA,repnum
10000,DP,avg,776.0430028716722,798.3691214048008,812.6181237628177,817.2295106144674,100.0,0.25,3
100000,NGG,geom,850.4678499787292,888.7795894030478,567.8641918302992,384.0618516396762,100.0,0.25,3
100000,NGG,avg,943.7663971305387,830.9807587430114,821.2220987351311,718.348416636215,100.0,0.25,3
100000,DP,geom,1627.621634523019,1586.303549848651,1363.5049399840668,1287.7316404361482,100.0,0.25,3
100000,DP,avg,1626.4483602523756,1585.5308439841056,1363.4645648655635,1287.731640436148,100.0,0.25,3
250000,NGG,geom,1887.4235677288143,2406.217648219059,2639.259685778573,3396.4906773467937,100.0,0.25,3
250000,NGG,avg,1797.777903609107,1999.2209675330978,2651.6385522729433,1612.5146291682986,100.0,0.25,3
250000,DP,geom,2233.719215295155,2173.467989216034,1788.9398078695394,1624.0385363677756,100.0,0.25,3
250000,DP,avg,2232.1150666217545,2173.112160502341,1788.9395494780197,1624.038536367776,100.0,0.25,3
5000,NGG,geom,227.28221884841457,330.9797919297676,487.44146312195016,520.8264956112245,100.0,0.25,7
5000,NGG,avg,237.08745834654053,329.609399225125,489.98275123052167,534.940484532938,100.0,0.25,7
5000,DP,geom,578.1079848069479,592.548439637904,598.7120147389912,601.9236610636378,100.0,0.25,7
5000,DP,avg,576.6815698852448,592.4599621699207,598.7014714535064,601.9236610636377,100.0,0.25,7
10000,NGG,geom,132.53961471605123,268.64136292179273,482.89896936756793,483.18027087205746,100.0,0.25,7
10000,NGG,avg,138.02677787074424,286.8751560187743,507.23061139111866,542.0264747665371,100.0,0.25,7
10000,DP,geom,747.1826135380126,765.6983170966703,781.4377219274944,782.7813072539416,100.0,0.25,7
10000,DP,avg,745.9309835692864,765.2674558223471,781.3628300107958,782.7813072539415,100.0,0.25,7
100000,NGG,geom,658.1547825339917,893.035982527957,626.4130704854833,918.3631452949671,100.0,0.25,7
100000,NGG,avg,757.4288470071124,779.0199329800007,907.2943122236802,1268.823995638877,100.0,0.25,7
100000,DP,geom,1677.1148484313703,1621.2255963104362,1366.6321328831111,1300.710008623119,100.0,0.25,7
